lemma	part_of_speech	translations
демиург	noun	Demiurge|demiurge
денис	noun	Denis|Dennis|Denys
денисов	noun	Denisov
деннис	noun	Denis|Dennis|Denys
дербышев	noun	Derbyshev
детройт	noun	Detroit
дефо	noun	Defoe
джанкой	noun	Dzhankoy|Jankoy
джаркханд	noun	Jharkhand
джейн	noun	Jane
джемс	noun	James
джесс	noun	Jess
джибути	noun	Djibouti
джимми	noun	Jimmy
джиротти	noun	Girotti
джоанна	noun	Joanna
джозефин	noun	Josephine
джози	noun	Jozy
джомолунгма	noun	Chomolungma
джон	noun	John
джордж	noun	George
дзядко	noun	Dzyadko
ди каприо	noun	DiCaprio
дивногорье	noun	Divnogorye
дидро	noun	Diderot
диего	noun	Diego
димитрий	noun	Dimitry|Demetrius
дина	noun	Dina
динара	noun	Dinara
динора	noun	Dinorah
динэра	noun	Dinera
диоген	noun	Diogenes
дипилон	noun	Dipylon
дисней	noun	Disney
дитц	noun	Dietz
дмитрий	noun	Demetrius|Dimitry|Dmitri|Dmitriy
днепр	noun	Dnieper
дно	noun	Dno|bottom
додома	noun	Dodoma
додоново	noun	Dodonovo
долгопрудный	noun	Dolgoprudny
долл	noun	Doll
долли	noun	Dolly
домна	noun	Domna|blast furnace
дональд	noun	Donald
дор	noun	Dor|glade
дорис	noun	Doris
дородов	noun	Dorodov
дорохов	noun	Dorokhov
доха	noun	Doha|fur coat
драгунов	noun	Dragunov
дрочил	noun	Drochil Castle
дроэда	noun	Drogheda
другов	noun	Drugov
друскининкай	noun	Druskininkai
дрю	noun	Drew|Drewe|Dru|Drut
дрягин	noun	Dryagin
дубай	noun	Dubai
дубин	noun	Dubin
думачев	noun	Dumachev
думшев	noun	Dumshev
дунай	noun	Danube
дураев	noun	Duraev
дуранго	noun	Durango|Durango City
дуров	noun	Durov
душанбе	noun	Dushanbe
дымов	noun	Dymov
дьявол	noun	Devil|Satan|devil
дюймовочка	noun	Thumbelina
дюма	noun	Dumas
дюпонтель	noun	Dupontel
дюссолье	noun	Dussollier
дёмшин	noun	Demshyn|Dyomshyn
ева	noun	Eva|Yeva|Eve
евангелие	noun	Gospel
евгений	noun	Yevgeny|Eugene
евгения	noun	Eugenia|Eugene|Yevgeniya
евграфов	noun	Yevgrafov
евлампий	noun	Eulampius
евлашкин	noun	Yevlashkin
евпатория	noun	Yevpatoria|Eupatoria
евразия	noun	Eurasia
еврипид	noun	Euripides
евровидение	noun	Eurovision
европа	noun	Europe|Europa
евросоюз	noun	European Union
евростат	noun	Eurostat
евстюгов	noun	Evstiougov|Evstyugov
евтеев	noun	Yevteyev
евфрат	noun	Euphrates
египет	noun	Egypt
егор	noun	George|Yegor
егорка	noun	Egorka
егоров	noun	Yegorov
едом	noun	Edom
ездра	noun	Ezdra|Esdras|Ezra
езекия	noun	Ezekiya|Ezekias|Hezekiah|Ezechias
екатерина	noun	Ekaterina|Catherine|Kate
екатеринбург	noun	Yekaterinburg
екатеринодар	noun	Yekaterinodar
елеазар	noun	Eleazar
елена	noun	Helen
еленкин	noun	Yelenkin
елизавета	noun	Elizabeth
ельников	noun	Yelnikov
ельцин	noun	Yeltsin
емелин	noun	Emelin
енисей	noun	Yenisei|Yenisey|Yenissei
енисейск	noun	Yeniseysk
епиподий	noun	Epipody|Epipodius
ереван	noun	Yerevan|Erevan|Erewan|Erivan
ермолов	noun	Yermolov
ерофей	noun	Yerofey
ерохин	noun	Erokhin
ерёменко	noun	Eremenko
ерёмочкин	noun	Yeriomochkin
есения	noun	Yesenia
есипов	noun	Yesipov
ессентуки	noun	Yessentuki|Essentuki
ефимов	noun	Yefimov
ефрем	noun	Efrem|Ephram
ефремов	noun	Efremov|Yefremov
жанен	noun	Janin
жарёхин	noun	Zharekhin
железноводск	noun	Zheleznovodsk
железногорск	noun	Zheleznogorsk
женева	noun	Geneva
женька	noun	Zhenka
живоглядов	noun	ISO-9)|Zhivogliadov|Zhivogljadov
животные	noun	Animals
жидков	noun	Zhidkov
жирардо	noun	Girardot
