lemma	part_of_speech	translations
canadian	adjective	加拿大的|加拿大人
canadian football	noun	加拿大式足球
canary islands	noun	加那利群岛|加那利群島
canberra	noun	堪培拉
cancer	noun	巨蟹座|癌症|癌癥
cancún	noun	坎昆
canes venatici	noun	猎犬座
cangjie	noun	仓颉输入法
canis major	noun	大犬座
canis minor	noun	小犬座
cannae	noun	戛纳
cannes	noun	戛納
cantabria	noun	坎塔布里亚
canterbury	noun	坎特伯雷
canton	noun	广州|州
cantonese	adjective	粤语|粵語
cao dai	noun	高台教
cape town	noun	開普敦
cape verde	noun	佛得角
cape gooseberry	noun	灯笼果
cape of good hope	noun	好望角
capernaum	noun	迦百农
capitanian	noun	队长
capricorn	noun	摩羯座
capricornus	noun	摩羯座
capuchin	noun	阿巴德
caracas	noun	卡拉卡斯
carboniferous	noun	石炭纪
carcassonne	noun	卡尔卡松
cardiff	noun	加的夫
caria	noun	卡里亚
caribbean	noun	加勒比
caribbean sea	noun	加勒比海
carina	noun	船底座
carinthia	noun	克恩頓
carlisle	noun	卡萊爾
carlos	noun	夏尔
carpathians	noun	喀爾巴阡山脈
carpenter	noun	木匠
cartesian product	noun	叉积
carthage	noun	迦太基
carthaginian	noun	迦太基人
casablanca	noun	卡萨布兰卡
caserta	noun	卡塞塔
caspian sea	noun	裏海
cassiopeia	noun	仙后座
castile	noun	卡斯蒂利亚|卡斯蒂利亞
castile and león	noun	卡斯蒂利亚-莱昂
castilla-la mancha	noun	卡斯蒂利亚-拉曼查
castor	noun	北河二|河狸
castries	noun	卡斯特里
catalan	adjective	加泰羅尼亞語|加泰罗尼亚语
catalan countries	noun	加泰隆尼亞語地區
catalonia	noun	加泰羅尼亞|加泰罗尼亚
catch-22	noun	困境
catherine	noun	凯瑟琳
catholicism	noun	天主教
caucasian	noun	高加索人|白人
caucasus	noun	高加索山脉
cayenne	noun	卡宴
cayman islands	noun	开曼群岛
cebuano	adjective	宿霧語
celt	noun	凯尔特人
celtic sea	noun	凯尔特海
cenozoic	noun	新生代
centaurus	noun	半人马座
central african empire	noun	中非帝国
central african republic	noun	中非共和国|中非共和國
central america	noun	中美洲
central asia	noun	中亚
central europe	noun	中欧
cephalonia	noun	凯法利尼亚岛
cepheus	noun	仙王座
cerberus	noun	刻耳柏洛斯
ceres	noun	谷神星
cetus	noun	鲸鱼座
ceylon	noun	锡兰
chad	noun	乍得
chalcedon	noun	迦克墩
chamaeleon	noun	蝘蜓座
chambord	noun	尚博尔
champagne	noun	香槟|香槟酒
champions league	noun	冠军联赛
changshan	noun	常山
chaonan	noun	潮南
charlemagne	noun	查理大帝
charleroi	noun	沙勒罗瓦
charles	noun	夏尔
charlotte	noun	夏洛特
charon	noun	冥卫一
chartres	noun	沙特尔
chaubunagungamaug	noun	查戈加戈格曼乔加戈格乔布纳贡加毛格
cheboksary	noun	切博克薩雷
chechen	noun	車臣語
chechnya	noun	车臣
chelyabinsk	noun	車里雅賓斯克
chemeryntsi	noun	切梅林齊
chemnitz	noun	开姆尼茨
chengde	noun	承德
chengdu	noun	成都
chennai	noun	金奈
cherkasy	noun	切爾卡瑟
chernivtsi	noun	切爾諾夫策
chernobyl	noun	切尔诺贝利
chhattisgarh	noun	恰蒂斯加爾邦
chiang mai	noun	清邁
chiang rai	noun	清萊
chiapas	noun	恰帕斯
chiba	noun	千葉
chicago	noun	芝加哥
chichester	noun	奇切斯特
chieti	noun	基耶蒂
chihuahua	noun	吉娃娃
chikugo	noun	筑後
chikusei	noun	筑西
chikushino	noun	筑紫野
chile	noun	智利
chimera	noun	喀邁拉|喀迈拉
china	noun	中国|中國|瓷器
china proper	noun	中国本土
chinaman	noun	中国人
chinatown	noun	唐人街
chinese	adjective	中文|中国|中国人|汉语
chinese new year	noun	春节
chinese taipei	noun	中华台北
chinese character	noun	汉字
chinese checkers	noun	中国跳棋
chinese gall	noun	五倍子
chinese ragwort	noun	华蟹甲
chinese studies	noun	汉学
chinese whispers	noun	以訛傳訛
chiron	noun	喀戎
chitose	noun	千歲
chișinău	noun	基希讷乌
chongli	noun	崇禮
chongqing	noun	重庆
christ	noun	基督
christadelphian	noun	基督弟兄會會員
christian	adjective	基督徒
christian era	noun	公元
christian name	noun	名字
christianity	noun	基督教
christie	noun	克里斯蒂
christmas	noun	圣诞节|聖誕節
christmas day	noun	聖誕 圣诞
christmas island	noun	圣诞岛
christmas carol	noun	聖誕頌歌
christmas market	noun	圣诞市场
christmas tree	noun	圣诞树
christmastime	noun	耶稣降生
christopher	noun	克里斯托弗
chronicles	noun	历代志
chuvash	noun	楚瓦什語
cicero	noun	西塞罗
cinderella	noun	灰姑娘
circinus	noun	圆规座
cisjordan	noun	約旦河西岸地區
classical chinese	noun	古文
classical nahuatl	noun	納瓦特爾語
cleopatra	noun	克莱奥帕特拉
clio	noun	克利俄
coahuila	noun	科阿韦拉
coca-cola	noun	可口可乐
cochrane	noun	科克倫
cognac	noun	干邑|干邑白兰地
cognos	noun	康格诺斯
coke	noun	可乐|焦炭
cold war	noun	冷戰|冷战
cologne	noun	科隆|殖民地
colombia	noun	哥伦比亚|哥倫比亞
colombo	noun	科伦坡
colorado	noun	科罗拉多州
columba	noun	天鸽座
columbia	noun	哥伦比亚
coma berenices	noun	后发座
common era	noun	公元
commonwealth of nations	noun	英联邦
commonwealth of the bahamas	noun	巴哈馬國
comoros	noun	科摩罗|科摩羅
conan	noun	科南
confucianism	noun	儒家
confucius	noun	孔子
congo	noun	刚果
congress	noun	議會
constance	noun	康斯坦茨
constantinople	noun	君士坦丁堡
cook islands	noun	库克群岛
copenhagen	noun	哥本哈根
copt	noun	科普特人
coptic	adjective	科普特的
coral sea	noun	珊瑚海
corbeau	noun	乌鸦座
corcyra	noun	科孚岛
corfu	noun	科孚岛
corinth	noun	科林斯
cornish	adjective	康瓦耳语
cornwall	noun	康沃尔
corona australis	noun	南冕座
corsica	noun	科西嘉島
corsican	adjective	科西嘉語
corvus	noun	乌鸦座
cosenza	noun	科森扎
cossack	noun	哥萨克
costa rica	noun	哥斯达黎加|哥斯達黎加
council of europe	noun	欧洲委员会
crater	noun	巨爵座|環形山
cremona	noun	克雷莫纳
cretaceous	noun	白垩纪
crete	noun	克里特
crimea	noun	克里米亚
crius	noun	白羊座
croatia	noun	克罗地亚
croatian	adjective	克罗地亚语|克羅地亞語
croesus	noun	克羅伊斯
cronus	noun	克罗诺斯
crusade	noun	十字军东征|十字軍東征
cryogenian	noun	成冰纪
cthulhu	noun	克蘇魯
cuba	noun	古巴
cultural revolution	noun	文化大革命
cuneo	noun	库内奥
cup	noun	巨爵座|杯|杯子
cupid	noun	天卫二十七
curaçao	noun	库拉索
cygnus	noun	天鹅座
cynic	noun	犬儒學派
cypriot	adjective	塞浦路斯
cyprus	noun	塞浦路斯
cyrenaica	noun	昔兰尼加
cyrillic	adjective	西裡爾|西里尔
cyrillization	noun	西裡爾化
czech	adjective	捷克的|捷克语|捷克語
czech republic	noun	捷克共和國
czechia	noun	捷克
czecho-slovakia	noun	捷克斯洛伐克
czechoslovakia	noun	捷克斯洛伐克
częstochowa	noun	琴斯托霍瓦
córdoba	noun	科尔多瓦
côte d'ivoire	noun	科特迪瓦
d-day	noun	D日
dna	noun	大自然
dvd	noun	DVD
dada	noun	达达主义
daedalus	noun	代达洛斯
dagestan	noun	达吉斯坦共和国
dahomey	noun	达荷美
dakar	noun	达喀尔
dalai lama	noun	达赖喇嘛
dalian	noun	大连
dalmatia	noun	達爾馬提亞
daltonism	noun	色盲
damascus	noun	大马士革
dane	noun	丹麦人
dangjin	noun	唐津
daniel	noun	但以理书|但以理書
danish	adjective	丹麦语|丹麦的
danish pastry	noun	发票
danube	noun	多瑙河
danzig	noun	格但斯克
dar es salaam	noun	达累斯萨拉姆
dardanelles	noun	達達尼爾海峽
darfur	noun	達爾富爾
dari	noun	达利语
darwin	noun	达尔文
darwinism	noun	達爾文主義
dasher	noun	天箭座
daugava	noun	道加瓦河
dauphin	noun	海豚座|海豚
david	noun	大卫
dayi	noun	大易輸入法|大易输入法
dead sea	noun	死海
death	noun	死神|死亡
debaltseve	noun	傑巴利采沃|傑巴利采韋|德巴利采韋市鎮
december	noun	十二月
deimos	noun	火卫二
deism	noun	自然神論|自然神论
delaware	noun	特拉华
delhi	noun	德里
delos	noun	提洛岛
delphi	noun	德尔斐
delphinus	noun	海豚座
delta variant	noun	Delta变异毒株
deluge	noun	大洪水
demeter	noun	得墨忒耳
democratic people's republic of korea	noun	朝鮮民主主義人民共和國
democratic republic of the congo	noun	刚果民主共和国
democritus	noun	德谟克利特
demosthenes	noun	狄摩西尼
demydivka	noun	代米迪夫卡|}}縣|代米迪夫卡區
denmark	noun	丹麦|丹麥
derek	noun	德瑞克
desdemona	noun	天卫十
despoina	noun	海卫五
deuteronomy	noun	申命記|申命记
deutsche mark	noun	德國馬克
devanagari	noun	天城文
devonian	noun	泥盆纪
dharamshala	noun	達蘭薩拉
dhivehi	noun	迪維希語
diana	noun	黛安娜
dien bien	noun	奠邊|奠邊省
dien bien phu	noun	奠边府|奠邊|奠邊府
dietman	noun	[[#
dijon	noun	第戎
