lemma	part_of_speech	translations
一眼王	noun	диал.|косой|одноглазый
一碼事	noun	дело|диал.|же|и|одно|самое
一碼新	noun	диал.|иголочки|новый|с
一神論	noun	единобо́жие|монотеи́зм
一福壓百禍	noun	большое|все|на|невзгоды|несчастий|нет
一秉大公	noun	быть|выгод|и|личных|не|преследовать
一窩	noun	выводок|гнездо
一窩兒	noun	выводок|гнездо
一窩兒八代	noun	большой|в|восемь|гнезде|о|обр.
一窩子	noun	ватагой|гуртом|гурьбой|оптом|скопом
一窩猴兒	noun	диал.|земляного|ивохоур|ореха|сорт
一窩絲	noun	длинная|и|лапша|тонкая
一竅	noun	малейший|малость|проблеск|самая|чуть-чуть
一竅兒不通	noun	быть|в|глупый|не|непроходимо|неучем
一立楞	noun	вверх|вздыбиться|встать|диал.|дыбом|подняться
一笑兒	noun	улыбка|усмешка
一笑千金	noun	huángjīn|měirén|yīxiàoqiān|также|美人一笑千黃金
一笔	noun	взмах|кисти|один|пера|росчерк
一筆不茍	noun	аккуратно|в|допускать|не|небрежности|ни
一筆勾	noun	вычёркивать|зачёркивать|одним|пера|перечёркивать|росчерком
一筆抹倒	noun	вычёркивать|зачёркивать|одним|пера|перечёркивать|росчерком
一筆抹煞	noun	вычёркивать|зачёркивать|одним|пера|перечёркивать|росчерком
一筆錦	noun	арифметические|бумаге|выполненные|вычисления|действия|доске
一等亲	noun	первой|родство|степени|юр.
一等國	noun	держава|первоклассная
一答一合兒	noun	беседовать
一箭	noun	одна|стрела
一箭道	noun	полёта|путь|расстояние|стрелы
一箭遠	noun	в|двух|на|под|полёта|расстоянии
一簍油	noun	upoн.|бочка|о|сала|толстяке|туша
一簞一瓢	noun	а|ведущий|воды|для|жизни|знач.
一粟	noun	зерно|просяное
一粥一飯	noun	в|варёного|достающиеся|знач.|и|каждый
一粲	noun	светлая|улыбка
一納頭	noun	головой|непреклонной|продуманно|решимостью|с
一級方程式	noun	Фо́рмула-1|Фо́рмула-оди́н
一紮腳兒	noun	в|корни|месте|на|одном|осесть
一絡索	noun	воедино|связывать
一統	noun	властью|единой|объединять|под
一統志	noun	Мин|Цин|Юань|всеобщая|география|дин.
一絲不漏	noun	в|досконально|знач.|мелочи|не|ни
一緒	noun	лад|на|один|одинаковые
一線弄蝶	noun	Pamphila|guttata|бабочка|сем.|толстоголовок|энт.
一線蝶	noun	зоол.
一縮二亞硫酸鹽	noun	метасульфит|хим.
一縱	noun	выстрелом|одним|одной|с|стрелы
一總	noun	в|вместе|всего|всё|итоге|общем
一總兒	noun	в|вместе|всего|всё|итоге|общем
一繼一及	noun	наследование
一署	noun	если|однажды
一羣	noun	отара|стадо|стая|табун
一者	noun	yīzhe|èrzhe|во-вторых|во-первых|一者…,二者…
一肚皮	noun	живот|полный
一股兒	noun	все|всей|заодно|компанией|компания|одна
一股勁兒	noun	весь|во|всей|всю|дух|мочь
一股子	noun	быть|весь|наплыв|полный|поток|преисполненным
一股氣	noun	весь|во|всей|дух|силой|со
一背	noun	астр.|одностороннее|около|сияние|солнца
一背拉	noun	в|всего|диал.|итоге|итого
一背拉兒	noun	в|всего|диал.|итоге|итого
一背紅	noun	в|варёного|вся|знач.|краба|обр.
一脈子	noun	группа|друзей|и|напр.|родных
一腹	noun	в|до|живот|знач.|классическими|набитый
一膀之力	noun	см.—一臂之力
一臉	noun	всё|лицо
一自	noun	из|как|новокит.|от|пор|с
一至	noun	в|данной|области|односторонние|односторонний|совершенство
一致百虑	noun	идти|к|одному|путями|разными
一致關係	noun	грам.|согласование
一舉及第	noun	на|первых|преуспеть|экзаменах
一般大	noun	величины|же|одинаковой|размера|самого|того
一色兒	noun	без|масти|одной|одноцветный|отметин
一节	noun	вопроса|вопросу|дела|же|касается|о
一花	noun	один|цветок
一苇	noun	плот|тростниковый
一若	noun	см.一如
一落索	noun	см.|一絡索
一葉秋	noun	заметная|листу|начало|опавшему|осени|осень
一藏	noun	будд.|буддийский|веды|канон|питака|сокровище
一藝之長	noun	в|видов|дарование|из|искусств|мастерство
一處兒	noun	вместе|совместно
一蛇二首	noun	в|головами|двумя|двух|змея|знач.
一街兩巷	noun	в|все|вся|два|деревня|жители
一衝一撞兒	noun	авось|действовать|на|опрометчиво
一表	noun	внешность|вся
一表兒	noun	вкратце|изложить|коротко|рассказать
一表非凡	noun	внешность|незаурядная
一裹圓兒	noun	доха|плащ|тёплый
一襲	noun	гарнитур|комплект|костюм|об|одежде|один
一見傾心	noun	взгляда|первого|проникнуться|с|симпатией
一見鍾情		любо́вь с пе́рвого взгля́да|любовь с первого взгляда
一覽圖	noun	диаграмма|карта|схема|схематическая
一覽在目	noun	наглядный|обозримый|хорошо
一角兒	noun	работы|часть
一語破題	noun	в|первого|попасть|с|слова|цель
一讀會	noun	законопроекта|первое|чтение
一豎	noun	вертикальное|подниматься|положение|принимать|резко
一貫性	noun	последовательность|последовательный|филос.
一走兒	noun	не|оглядываясь|уйти
一起一落	noun	вздыматься|и|опадать|опускаться|подниматься|то
一起一起	noun	группа|группой|за|людях|о
一起了兒	noun	всего|для|начала|первого|первоначально|прежде
一起兒	noun	группа|кучка|людей
一起子	noun	валить|валом|скопом|толпой
一起根兒	noun	абцугу|для|начала|первого|первому|по
一起算	noun	вместе|на|один|сосчитать|счёт
一起首兒	noun	абцугу|для|же|начала|первому|по
一足之地	noun	земли|клочке|крохотном|о|обр.|размером
一跪三叩	noun	ист.|коленопреклонение|одно|поклон|поклоном|с
一跪三拜	noun	ист.|коленопреклонение|одно|поклон|поклоном|с
一路兒	noun	2) ,4|см.|—|一路
一路平安		до́брого пути́|колесом дорога|счастли́вого пути́
一路福星	noun	всём|звезда|на|пути|счастливая|счастливого
一路貨	noun	качества|одного|сорта|товар
一蹦一跳	noun	вприпрыжку|вприскочку
一蹴即就	noun	быстро|в|готово|добиться|дойти|знач.
一蹴即成	noun	быстро|в|готово|добиться|дойти|знач.
一蹴即至	noun	быстро|в|готово|добиться|дойти|знач.
一蹴而成	noun	быстро|в|готово|добиться|дойти|знач.
一身一口	noun	бобыль|одинокий|холостяк
一身一口兒	noun	бобыль|одинокий|холостяк
一身上下	noun	вся|всё|надетое|одежда|платье
一身兒	noun	комплект|одежды
一身兩役	noun	выполнять|два|две|занимать|поста|работы
一身是債	noun	в|долгу|как|шелку
一身是胆	noun	быть|весь|и|мужества|олицетворением|он
一身田	noun	без|земли|ист.|личное|личные|наследству
一身都是膽	noun	быть|весь|и|мужества|олицетворением|он
一軌	noun	колея|одна
一軲轆	noun	круглый|кружок|ломтик|напр.|отрезок|пути
一輩兒	noun	же|и|одно|одного|поколение|поколения
一輩子	noun	вре́мя жи́зни|вся жизнь|продолжи́тельность жи́зни|срок слу́жбы|це́лая жизнь
一轉灣	noun	движением|ловким|одним|разом|рывком
一辙	noun	идти|к|колея|общий|общим|одна
一迷	noun	время|всё|знай|знать|и|себе
一迷價	noun	беспрерывно|время|всё|знать|и|постоянно
一迷兒	noun	время|всё|знай|знать|и|себе
一送兒	noun	в|конец|о|один|одну|поездке
一通連兒	noun	без|в|галерея|несколько|перегородок|помещение
一造	noun	на|напр.|одна|сторона|суде|юр.
一遍千言	noun	блестящей|за|затвердить|на|о|обр.
一過眼	noun	взгляд|взглядом|мимолётный|скользнуть
一過眼兒	noun	взгляд|взглядом|мимолётный|скользнуть
一道同風	noun	ветер|единомышленниках|же|и|людях|о
一道煙兒	noun	бесследно|в|дым|дыма|знач.|исчезнуть
一道箍兒	noun	остолоп|тупица
一道貨	noun	в|диал.|знач.|обр.|одного|поля
一達	noun	вместе|сообща
一遞	noun	в...|перерывом|поочерёдно|посменно|с|через
一遞一和		см.|一答一合兒
一遞一和兒	noun	см.|一答一合兒
一遞裡	noun	ещё|раз
一遭兒	noun	вокруг|кругом
一還一報兒	noun	воздаяние|должное|за|заслугам|око|отместка
一邊廂	noun	другой|одной|с|стороны
一酸價	noun	однокислотный|хим.
一醋酸酯	noun	моноацетат|хим.
一醋酸鹽	noun	моноацетат|хим.
一重一重	noun	за|слоем|слой|слоями
一針一線	noun	в|знач.|и|иголка|мелочам|мелочи
一針見血		попа́сть в то́чку|попа́сть не в бровь, а в глаз
一鋪安心	noun	безраздельно|всей|душой
一鋪灘	noun	диал.|куча|толпа|целая
一錢不直	noun	гроша|ломаного|не|стоить
一錢如命	noun	в|денежка|дрожать|жизнь|знач.|каждая
一錯百錯	noun	будет|в|влечёт|всё|другие|за
一鍋兒熬	noun	в|вариться|котле|одном
一鍋麵	noun	котёл|лапши
一長二短	noun	см.|一長兩短
一長制	noun	единоначалие
一长两短	noun	беда|два|минуса|на|неожиданная|один
一門兒	noun	ворота|один|одна|одни|род|семья
一門兒地	noun	беспрестанно|время|всё|диал.|за|неоднократно
一門地	noun	беспрестанно|время|всё|диал.|за|неоднократно
一閃明	noun	забрезжит|рассвет|свет|чуть
一開手	noun	поначалу|сначала|сперва
一開頭	noun	поначалу|сначала|сперва
一閘	noun	авто|диал.|первая|передача|сев.|скорость
一门	noun	ворота|один|одна|одни|род|семья
一际	noun	одинаковый|тождественный
一陣兒	noun	вдрызг|вовсю|есть|мерой|мочи|полной
一陣風	noun	ветра|порыв
一陽來複	noun	см.一陽生
一陽生	noun	лето|на|поворот|солнца
一陽蕊花	noun	мужской|тычиночный|цветок
一隅之见	noun	взгляд|мнению|моему|мой|на|ограниченный
一雙兩好	noun	дружная|пара|супружеская|чета
一離	noun	II|Кореи|в.|до|или|ист.
一零兒	noun	доля|количество|малая|ничтожное|самая
一霎	noun	в|мгновенно|минутка|момент|моментально
一霎时	noun	в|мгновенно|минутка|момент|моментально
